"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000154045.1_ASM15404v1","GCF_000182385.1_ASM18238v1"
"asnB","","Asparagine synthetase B [glutamine-hydrolyzing]","2","2","1","522","216","","","","1664","1664","1664","GCF_000154045.1_ASM15404v1_05014","GCF_000182385.1_ASM18238v1_02684"
"group_2651","","hypothetical protein","2","2","1","523","27","","","","995","995","995","GCF_000154045.1_ASM15404v1_01894","GCF_000182385.1_ASM18238v1_02204"
"ppiA","","Peptidyl-prolyl cis-trans isomerase A","2","2","1","522","359","","","","545","545","545","GCF_000154045.1_ASM15404v1_04214","GCF_000182385.1_ASM18238v1_04181"
"group_2653","","hypothetical protein","2","2","1","522","258","","","","506","506","506","GCF_000154045.1_ASM15404v1_05252","GCF_000182385.1_ASM18238v1_02738"
"ridA_2","","2-iminobutanoate/2-iminopropanoate deaminase","2","2","1","515","95","","","","389","389","389","GCF_000154045.1_ASM15404v1_04793","GCF_000182385.1_ASM18238v1_01610"
"lpxL_2","","Lipid A biosynthesis lauroyltransferase","2","2","1","521","404","","","","950","950","950","GCF_000154045.1_ASM15404v1_03368","GCF_000182385.1_ASM18238v1_03007"
"group_2656","","hypothetical protein","2","2","1","521","282","","","","572","572","572","GCF_000154045.1_ASM15404v1_04745","GCF_000182385.1_ASM18238v1_02886"
"btsR_2","","Transcriptional regulatory protein BtsR","2","2","1","518","203","","","","728","728","728","GCF_000154045.1_ASM15404v1_02924","GCF_000182385.1_ASM18238v1_04638"
"epmA","","Elongation factor P--(R)-beta-lysine ligase","2","2","1","517","116","","","","971","971","971","GCF_000154045.1_ASM15404v1_04087","GCF_000182385.1_ASM18238v1_04292"
"group_2659","","hypothetical protein","2","2","1","522","418","","","","1586","1586","1586","GCF_000154045.1_ASM15404v1_04159","GCF_000182385.1_ASM18238v1_04240"
"comM_2","","Competence protein ComM","2","2","1","522","600","","","","614","1523","1068","GCF_000154045.1_ASM15404v1_02392","GCF_000182385.1_ASM18238v1_04461"
"group_2660","","hypothetical protein","2","2","1","514","63","","","","2456","2456","2456","GCF_000154045.1_ASM15404v1_03707","GCF_000182385.1_ASM18238v1_03739"
"fabF_5","","3-oxoacyl-[acyl-carrier-protein] synthase 2","2","2","1","512","45","","","","1223","1223","1223","GCF_000154045.1_ASM15404v1_02774","GCF_000182385.1_ASM18238v1_04522"
"group_2662","","hypothetical protein","2","2","1","523","488","","","","233","233","233","GCF_000154045.1_ASM15404v1_04667","GCF_000182385.1_ASM18238v1_03634"
"group_2663","","hypothetical protein","2","2","1","524","675","","","","974","974","974","GCF_000154045.1_ASM15404v1_00831","GCF_000182385.1_ASM18238v1_00767"
"topA_1","","DNA topoisomerase 1","2","2","1","519","232","","","","2630","2630","2630","GCF_000154045.1_ASM15404v1_04023","GCF_000182385.1_ASM18238v1_03887"
"group_2665","","hypothetical protein","2","2","1","524","952","","","","1484","1484","1484","GCF_000154045.1_ASM15404v1_01407","GCF_000182385.1_ASM18238v1_00507"
"yfbR","","5'-deoxynucleotidase YfbR","2","2","1","517","93","","","","584","584","584","GCF_000154045.1_ASM15404v1_04102","GCF_000182385.1_ASM18238v1_02612"
"group_2669","","hypothetical protein","2","2","1","524","1042","","","","323","323","323","GCF_000154045.1_ASM15404v1_01497","GCF_000182385.1_ASM18238v1_00416"
"folD","","Bifunctional protein FolD protein","2","2","1","512","47","","","","860","860","860","GCF_000154045.1_ASM15404v1_02777","GCF_000182385.1_ASM18238v1_04519"
"group_2671","","Thermolabile hemolysin","2","2","1","524","453","","","","1253","1253","1253","GCF_000154045.1_ASM15404v1_01125","GCF_000182385.1_ASM18238v1_00990"
"ilvC","","Ketol-acid reductoisomerase (NADP(+))","2","2","1","521","266","","","","1484","1484","1484","GCF_000154045.1_ASM15404v1_04766","GCF_000182385.1_ASM18238v1_02864"
"hflC","","Modulator of FtsH protease HflC","2","2","1","517","138","","","","980","980","980","GCF_000154045.1_ASM15404v1_02699","GCF_000182385.1_ASM18238v1_04329"
"yopN","","Outer membrane protein YopN","2","2","1","520","118","","","","893","893","893","GCF_000154045.1_ASM15404v1_01047","GCF_000182385.1_ASM18238v1_04426"
"group_2677","","hypothetical protein","2","2","1","519","289","","","","269","269","269","GCF_000154045.1_ASM15404v1_03075","GCF_000182385.1_ASM18238v1_03945"
"mltF_1","","Membrane-bound lytic murein transglycosylase F","2","2","1","524","918","","","","932","932","932","GCF_000154045.1_ASM15404v1_01374","GCF_000182385.1_ASM18238v1_00540"
"trkA","","Trk system potassium uptake protein TrkA","2","2","1","522","15","","","","1376","1376","1376","GCF_000154045.1_ASM15404v1_02403","GCF_000182385.1_ASM18238v1_04450"
"thiE_2","","Thiamine-phosphate synthase","2","2","1","522","100","","","","1334","1334","1334","GCF_000154045.1_ASM15404v1_00743","GCF_000182385.1_ASM18238v1_03798"
"yeeO_2","","putative FMN/FAD exporter YeeO","2","2","1","524","1320","","","","1385","1385","1385","GCF_000154045.1_ASM15404v1_02569","GCF_000182385.1_ASM18238v1_01667"
"group_2682","","hypothetical protein","2","2","1","517","119","","","","956","956","956","GCF_000154045.1_ASM15404v1_04084","GCF_000182385.1_ASM18238v1_04295"
"group_2683","","hypothetical protein","2","2","1","524","1041","","","","332","332","332","GCF_000154045.1_ASM15404v1_01496","GCF_000182385.1_ASM18238v1_00417"
"atoS","","Signal transduction histidine-protein kinase AtoS","2","2","1","522","463","","","","1031","1031","1031","GCF_000154045.1_ASM15404v1_03853","GCF_000182385.1_ASM18238v1_02051"
"group_2685","ttrR_1","Tetrathionate response regulatory protein TtrR","2","2","1","514","23","","","","611","611","611","GCF_000154045.1_ASM15404v1_03736","GCF_000182385.1_ASM18238v1_03710"
"rpmH","","50S ribosomal protein L34","2","2","1","522","128","","","","134","134","134","GCF_000154045.1_ASM15404v1_03516","GCF_000182385.1_ASM18238v1_04489"
"group_2687","","hypothetical protein","2","2","1","522","137","","","","389","389","389","GCF_000154045.1_ASM15404v1_03543","GCF_000182385.1_ASM18238v1_04480"
"ftsY_1","","Signal recognition particle receptor FtsY","2","2","1","522","481","","","","1481","1481","1481","GCF_000154045.1_ASM15404v1_03835","GCF_000182385.1_ASM18238v1_02069"
"pgrR_3","","HTH-type transcriptional regulator PgrR","2","2","1","516","67","","","","893","893","893","GCF_000154045.1_ASM15404v1_02296","GCF_000182385.1_ASM18238v1_01990"
"dapF","","Diaminopimelate epimerase","2","2","1","522","64","","","","830","830","830","GCF_000154045.1_ASM15404v1_03342","GCF_000182385.1_ASM18238v1_02843"
"group_2693","","hypothetical protein","2","2","1","524","213","","","","890","890","890","GCF_000154045.1_ASM15404v1_04406","GCF_000182385.1_ASM18238v1_01924"
"mobA","","Molybdenum cofactor guanylyltransferase","2","2","1","523","750","","","","587","587","587","GCF_000154045.1_ASM15404v1_05300","GCF_000182385.1_ASM18238v1_02416"
"clcA","","H(+)/Cl(-) exchange transporter ClcA","2","2","1","524","1506","","","","1403","1403","1403","GCF_000154045.1_ASM15404v1_01721","GCF_000182385.1_ASM18238v1_00201"
"group_2696","","hypothetical protein","2","2","1","521","149","","","","104","104","104","GCF_000154045.1_ASM15404v1_04975","GCF_000182385.1_ASM18238v1_03141"
"deoD","","Purine nucleoside phosphorylase DeoD-type","2","2","1","524","954","","","","710","710","710","GCF_000154045.1_ASM15404v1_01409","GCF_000182385.1_ASM18238v1_00505"
"yeiG","","S-formylglutathione hydrolase YeiG","2","2","1","524","615","","","","839","839","839","GCF_000154045.1_ASM15404v1_00776","GCF_000182385.1_ASM18238v1_00830"
"rplP","","50S ribosomal protein L16","2","2","1","521","182","","","","410","410","410","GCF_000154045.1_ASM15404v1_02313","GCF_000182385.1_ASM18238v1_03108"
"group_2700","","hypothetical protein","2","2","1","520","158","","","","554","554","554","GCF_000154045.1_ASM15404v1_01007","GCF_000182385.1_ASM18238v1_01190"
"cyaY","","Iron-sulfur cluster assembly protein CyaY","2","2","1","522","66","","","","314","314","314","GCF_000154045.1_ASM15404v1_03340","GCF_000182385.1_ASM18238v1_02845"
"group_2702","","hypothetical protein","2","2","1","523","885","","","","1139","1139","1139","GCF_000154045.1_ASM15404v1_04926","GCF_000182385.1_ASM18238v1_02243"
"rimK","","Ribosomal protein S6--L-glutamate ligase","2","2","1","524","502","","","","905","905","905","GCF_000154045.1_ASM15404v1_03270","GCF_000182385.1_ASM18238v1_00940"
"pmbA_1","","Metalloprotease PmbA","2","2","1","524","534","","","","1343","1343","1343","GCF_000154045.1_ASM15404v1_03045","GCF_000182385.1_ASM18238v1_00898"
"aroG","","Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive","2","2","1","524","1253","","","","1052","1052","1052","GCF_000154045.1_ASM15404v1_01706","GCF_000182385.1_ASM18238v1_00217"
"group_2706","","hypothetical protein","2","2","1","522","119","","","","116","116","116","GCF_000154045.1_ASM15404v1_03457","GCF_000182385.1_ASM18238v1_04498"
"group_2707","","hypothetical protein","2","2","1","522","292","","","","1316","1316","1316","GCF_000154045.1_ASM15404v1_04276","GCF_000182385.1_ASM18238v1_04118"
"group_2708","","hypothetical protein","2","2","1","524","1384","","","","1325","1325","1325","GCF_000154045.1_ASM15404v1_01841","GCF_000182385.1_ASM18238v1_00081"
"oppA_1","","Periplasmic oligopeptide-binding protein","2","2","1","524","686","","","","1625","1625","1625","GCF_000154045.1_ASM15404v1_00842","GCF_000182385.1_ASM18238v1_00756"
"group_2710","","hypothetical protein","2","2","1","524","400","","","","263","263","263","GCF_000154045.1_ASM15404v1_01177","GCF_000182385.1_ASM18238v1_01042"
"cysE_2","","Serine acetyltransferase","2","2","1","517","121","","","","821","821","821","GCF_000154045.1_ASM15404v1_04082","GCF_000182385.1_ASM18238v1_04297"
"group_2712","","hypothetical protein","2","2","1","524","1389","","","","335","335","335","GCF_000154045.1_ASM15404v1_01836","GCF_000182385.1_ASM18238v1_00086"
"group_2713","","hypothetical protein","2","2","1","519","50","","","","221","221","221","GCF_000154045.1_ASM15404v1_02048","GCF_000182385.1_ASM18238v1_04065"
"group_2714","","hypothetical protein","2","2","1","524","108","","","","122","122","122","GCF_000154045.1_ASM15404v1_03125","GCF_000182385.1_ASM18238v1_00058"
"tdk","","Thymidine kinase","2","2","1","519","101","","","","578","578","578","GCF_000154045.1_ASM15404v1_01997","GCF_000182385.1_ASM18238v1_04013"
"group_2716","","hypothetical protein","2","2","1","524","579","","","","245","245","245","GCF_000154045.1_ASM15404v1_02650","GCF_000182385.1_ASM18238v1_00859"
"group_2717","","hypothetical protein","2","2","1","522","389","","","","287","287","287","GCF_000154045.1_ASM15404v1_04186","GCF_000182385.1_ASM18238v1_04209"
"cheV_4","","Chemotaxis protein CheV","2","2","1","508","8","","","","953","953","953","GCF_000154045.1_ASM15404v1_05269","GCF_000182385.1_ASM18238v1_01749"
"pucG_3","","(S)-ureidoglycine--glyoxylate transaminase","2","2","1","515","13","","","","1121","1121","1121","GCF_000154045.1_ASM15404v1_00341","GCF_000182385.1_ASM18238v1_01553"
"oppB_2","","Oligopeptide transport system permease protein OppB","2","2","1","524","249","","","","986","986","986","GCF_000154045.1_ASM15404v1_02454","GCF_000182385.1_ASM18238v1_01889"
"group_2721","","hypothetical protein","2","2","1","522","260","","","","638","638","638","GCF_000154045.1_ASM15404v1_05249","GCF_000182385.1_ASM18238v1_02735"
"group_2722","","hypothetical protein","2","2","1","523","717","","","","836","836","836","GCF_000154045.1_ASM15404v1_03934","GCF_000182385.1_ASM18238v1_02449"
"oppF_5","","Oligopeptide transport ATP-binding protein OppF","2","2","1","521","399","","","","839","839","839","GCF_000154045.1_ASM15404v1_03373","GCF_000182385.1_ASM18238v1_03002"
"group_2724","rep_1","ATP-dependent DNA helicase Rep","2","2","1","521","271","","","","2015","2015","2015","GCF_000154045.1_ASM15404v1_04761","GCF_000182385.1_ASM18238v1_02869"
"yacG","","DNA gyrase inhibitor YacG","2","2","1","524","169","","","","194","194","194","GCF_000154045.1_ASM15404v1_01935","GCF_000182385.1_ASM18238v1_01844"
"aaaT","","L-amino acid N-acetyltransferase AaaT","2","2","1","524","941","","","","500","500","500","GCF_000154045.1_ASM15404v1_01397","GCF_000182385.1_ASM18238v1_00517"
"group_2729","","N-carbamoyl-D-amino acid hydrolase","2","2","1","520","223","","","","866","866","866","GCF_000154045.1_ASM15404v1_00942","GCF_000182385.1_ASM18238v1_01255"
"group_273","","hypothetical protein","2","2","1","524","1334","","","","803","1634","1218","GCF_000154045.1_ASM15404v1_02555","GCF_000182385.1_ASM18238v1_01681"
"rpoA","","DNA-directed RNA polymerase subunit alpha","2","2","1","521","164","","","","992","992","992","GCF_000154045.1_ASM15404v1_01992","GCF_000182385.1_ASM18238v1_03126"
"bfd","","Bacterioferritin-associated ferredoxin","2","2","1","517","54","","","","188","188","188","GCF_000154045.1_ASM15404v1_00698","GCF_000182385.1_ASM18238v1_04369"
"group_2732","","hypothetical protein","2","2","1","514","28","","","","533","533","533","GCF_000154045.1_ASM15404v1_03731","GCF_000182385.1_ASM18238v1_03715"
"rbsK","","Ribokinase","2","2","1","524","1425","","","","917","917","917","GCF_000154045.1_ASM15404v1_01801","GCF_000182385.1_ASM18238v1_00122"
"rpsI","","30S ribosomal protein S9","2","2","1","510","7","","","","392","392","392","GCF_000154045.1_ASM15404v1_03620","GCF_000182385.1_ASM18238v1_02641"
"pheC","","Cyclohexadienyl dehydratase","2","2","1","522","148","","","","776","776","776","GCF_000154045.1_ASM15404v1_04431","GCF_000182385.1_ASM18238v1_04469"
"ttrR_1","","Tetrathionate response regulatory protein TtrR","2","2","1","519","52","","","","596","596","596","GCF_000154045.1_ASM15404v1_02046","GCF_000182385.1_ASM18238v1_04063"
"group_2737","","hypothetical protein","2","2","1","524","415","","","","683","683","683","GCF_000154045.1_ASM15404v1_01162","GCF_000182385.1_ASM18238v1_01027"
"group_2738","","hypothetical protein","2","2","1","524","330","","","","254","254","254","GCF_000154045.1_ASM15404v1_01246","GCF_000182385.1_ASM18238v1_01115"
"group_2739","","hypothetical protein","2","2","1","522","2","","","","263","263","263","GCF_000154045.1_ASM15404v1_02416","GCF_000182385.1_ASM18238v1_04437"
"tyrP_2","","Tyrosine-specific transport protein","2","2","1","523","817","","","","1190","1190","1190","GCF_000154045.1_ASM15404v1_04856","GCF_000182385.1_ASM18238v1_02349"
"group_2743","","hypothetical protein","2","2","1","523","417","","","","458","458","458","GCF_000154045.1_ASM15404v1_05117","GCF_000182385.1_ASM18238v1_03560"
"group_2744","","hypothetical protein","2","2","1","519","296","","","","446","446","446","GCF_000154045.1_ASM15404v1_03082","GCF_000182385.1_ASM18238v1_03952"
"group_2745","","hypothetical protein","2","2","1","524","419","","","","281","281","281","GCF_000154045.1_ASM15404v1_01158","GCF_000182385.1_ASM18238v1_01023"
"pqiA","","Intermembrane transport protein PqiA","2","2","1","514","18","","","","1331","1331","1331","GCF_000154045.1_ASM15404v1_03741","GCF_000182385.1_ASM18238v1_03703"
"group_2747","","hypothetical protein","2","2","1","523","800","","","","347","347","347","GCF_000154045.1_ASM15404v1_04839","GCF_000182385.1_ASM18238v1_02366"
"aceA","","Isocitrate lyase","2","2","1","518","251","","","","1310","1310","1310","GCF_000154045.1_ASM15404v1_02877","GCF_000182385.1_ASM18238v1_04688"
"group_2749","","hypothetical protein","2","2","1","524","500","","","","245","245","245","GCF_000154045.1_ASM15404v1_03272","GCF_000182385.1_ASM18238v1_00942"
"manA_3","","Mannose-6-phosphate isomerase","2","2","1","524","1312","","","","776","1217","996","GCF_000154045.1_ASM15404v1_02577","GCF_000182385.1_ASM18238v1_01659"
"group_2750","","hypothetical protein","2","2","1","524","509","","","","827","827","827","GCF_000154045.1_ASM15404v1_03263","GCF_000182385.1_ASM18238v1_00931"
"yscI","","Yop proteins translocation protein I","2","2","1","520","140","","","","344","344","344","GCF_000154045.1_ASM15404v1_01025","GCF_000182385.1_ASM18238v1_01172"
"group_2752","","hypothetical protein","2","2","1","524","1158","","","","404","404","404","GCF_000154045.1_ASM15404v1_01613","GCF_000182385.1_ASM18238v1_00329"
"group_2753","","hypothetical protein","2","2","1","518","168","","","","185","185","185","GCF_000154045.1_ASM15404v1_03365","GCF_000182385.1_ASM18238v1_04604"
"group_2754","","hypothetical protein","2","2","1","524","635","","","","818","818","818","GCF_000154045.1_ASM15404v1_00793","GCF_000182385.1_ASM18238v1_00808"
"def1","","Peptide deformylase 1","2","2","1","522","12","","","","518","518","518","GCF_000154045.1_ASM15404v1_02406","GCF_000182385.1_ASM18238v1_04447"
"chiP_1","","Chitoporin","2","2","1","522","238","","","","1409","1409","1409","GCF_000154045.1_ASM15404v1_05036","GCF_000182385.1_ASM18238v1_02706"
"aroA","","3-phosphoshikimate 1-carboxyvinyltransferase","2","2","1","519","230","","","","1280","1280","1280","GCF_000154045.1_ASM15404v1_04025","GCF_000182385.1_ASM18238v1_03885"
"group_2758","","47 kDa outer membrane protein","2","2","1","523","484","","","","1241","1241","1241","GCF_000154045.1_ASM15404v1_04663","GCF_000182385.1_ASM18238v1_03629"
"group_2761","","hypothetical protein","2","2","1","522","120","","","","416","416","416","GCF_000154045.1_ASM15404v1_03456","GCF_000182385.1_ASM18238v1_04497"
"yejB","","Inner membrane ABC transporter permease protein YejB","2","2","1","521","395","","","","1025","1025","1025","GCF_000154045.1_ASM15404v1_03377","GCF_000182385.1_ASM18238v1_02998"
"invA","","Invasion protein InvA","2","2","1","520","113","","","","2117","2117","2117","GCF_000154045.1_ASM15404v1_01052","GCF_000182385.1_ASM18238v1_04421"
"spaQ","","Surface presentation of antigens protein SpaQ","2","2","1","520","124","","","","266","266","266","GCF_000154045.1_ASM15404v1_01041","GCF_000182385.1_ASM18238v1_04432"
"crp_2","","cAMP-activated global transcriptional regulator CRP","2","2","1","517","158","","","","632","632","632","GCF_000154045.1_ASM15404v1_03653","GCF_000182385.1_ASM18238v1_04347"
"tadA","","tRNA-specific adenosine deaminase","2","2","1","518","66","","","","524","524","524","GCF_000154045.1_ASM15404v1_04468","GCF_000182385.1_ASM18238v1_04770"
"murE","","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase","2","2","1","510","21","","","","1481","1481","1481","GCF_000154045.1_ASM15404v1_03635","GCF_000182385.1_ASM18238v1_02627"
"flgE_1","","Flagellar hook protein FlgE","2","2","1","524","414","","","","1196","1196","1196","GCF_000154045.1_ASM15404v1_01163","GCF_000182385.1_ASM18238v1_01028"
"flgI_1","","Flagellar P-ring protein","2","2","1","524","410","","","","1121","1121","1121","GCF_000154045.1_ASM15404v1_01167","GCF_000182385.1_ASM18238v1_01032"
"ydeP","","Protein YdeP","2","2","1","524","1304","","","","1145","2324","1734","GCF_000154045.1_ASM15404v1_02584","GCF_000182385.1_ASM18238v1_01651"
"zntR_2","","HTH-type transcriptional regulator ZntR","2","2","1","511","15","","","","398","398","398","GCF_000154045.1_ASM15404v1_04288","GCF_000182385.1_ASM18238v1_02792"
"pal_5","","Peptidoglycan-associated lipoprotein","2","2","1","524","1300","","","","617","617","617","GCF_000154045.1_ASM15404v1_02589","GCF_000182385.1_ASM18238v1_02590"
"group_2772","","hypothetical protein","2","2","1","520","111","","","","284","284","284","GCF_000154045.1_ASM15404v1_01054","GCF_000182385.1_ASM18238v1_04419"
"luxS","","S-ribosylhomocysteine lyase","2","2","1","524","161","","","","518","518","518","GCF_000154045.1_ASM15404v1_01943","GCF_000182385.1_ASM18238v1_01836"
"group_2774","","hypothetical protein","2","2","1","524","1379","","","","1121","1121","1121","GCF_000154045.1_ASM15404v1_01846","GCF_000182385.1_ASM18238v1_01731"
"group_2775","","hypothetical protein","2","2","1","519","11","","","","656","656","656","GCF_000154045.1_ASM15404v1_04382","GCF_000182385.1_ASM18238v1_04109"
"group_2776","","hypothetical protein","2","2","1","523","20","","","","461","461","461","GCF_000154045.1_ASM15404v1_01901","GCF_000182385.1_ASM18238v1_02196"
"rsmA","","Ribosomal RNA small subunit methyltransferase A","2","2","1","521","113","","","","809","809","809","GCF_000154045.1_ASM15404v1_03155","GCF_000182385.1_ASM18238v1_03178"
"group_2778","","hypothetical protein","2","2","1","520","14","","","","1520","1520","1520","GCF_000154045.1_ASM15404v1_02113","GCF_000182385.1_ASM18238v1_01277"
"yopB","","Protein YopB","2","2","1","520","108","","","","1199","1199","1199","GCF_000154045.1_ASM15404v1_01057","GCF_000182385.1_ASM18238v1_04416"
"group_2780","","Glycine betaine transporter 1","2","2","1","520","275","","","","1571","1571","1571","GCF_000154045.1_ASM15404v1_03683","GCF_000182385.1_ASM18238v1_01366"
"nagE","","PTS system N-acetylglucosamine-specific EIICBA component","2","2","1","522","211","","","","1571","1571","1571","GCF_000154045.1_ASM15404v1_05009","GCF_000182385.1_ASM18238v1_02679"
"group_2782","","hypothetical protein","2","2","1","523","775","","","","686","686","686","GCF_000154045.1_ASM15404v1_04814","GCF_000182385.1_ASM18238v1_02391"
"group_2785","","hypothetical protein","2","2","1","522","261","","","","431","431","431","GCF_000154045.1_ASM15404v1_05248","GCF_000182385.1_ASM18238v1_02734"
"dauR_1","","Transcriptional regulator DauR","2","2","1","522","543","","","","659","659","659","GCF_000154045.1_ASM15404v1_02956","GCF_000182385.1_ASM18238v1_02129"
"group_2787","","hypothetical protein","2","2","1","519","17","","","","545","545","545","GCF_000154045.1_ASM15404v1_03171","GCF_000182385.1_ASM18238v1_04100"
"group_2788","","hypothetical protein","2","2","1","523","759","","","","413","413","413","GCF_000154045.1_ASM15404v1_05291","GCF_000182385.1_ASM18238v1_02407"
"rsmH_2","","Ribosomal RNA small subunit methyltransferase H","2","2","1","510","18","","","","950","950","950","GCF_000154045.1_ASM15404v1_03632","GCF_000182385.1_ASM18238v1_02630"
"sglT","","Sodium/glucose cotransporter","2","2","1","524","595","","","","1250","1739","1494","GCF_000154045.1_ASM15404v1_02665","GCF_000182385.1_ASM18238v1_00844"
"group_2790","","hypothetical protein","2","2","1","524","1052","","","","110","110","110","GCF_000154045.1_ASM15404v1_01508","GCF_000182385.1_ASM18238v1_00405"
"lptC","","Lipopolysaccharide export system protein LptC","2","2","1","515","60","","","","563","563","563","GCF_000154045.1_ASM15404v1_00220","GCF_000182385.1_ASM18238v1_01599"
"mltG","","Endolytic murein transglycosylase","2","2","1","508","16","","","","1016","1016","1016","GCF_000154045.1_ASM15404v1_05282","GCF_000182385.1_ASM18238v1_01761"
"group_2793","","hypothetical protein","2","2","1","522","386","","","","443","443","443","GCF_000154045.1_ASM15404v1_04187","GCF_000182385.1_ASM18238v1_04208"
"flgH_2","","Flagellar L-ring protein","2","2","1","522","274","","","","779","779","779","GCF_000154045.1_ASM15404v1_02079","GCF_000182385.1_ASM18238v1_02722"
"atoC_3","","Regulatory protein AtoC","2","2","1","523","746","","","","1451","1451","1451","GCF_000154045.1_ASM15404v1_05304","GCF_000182385.1_ASM18238v1_02420"
"recX","","Regulatory protein RecX","2","2","1","516","108","","","","467","467","467","GCF_000154045.1_ASM15404v1_04596","GCF_000182385.1_ASM18238v1_02040"
"rpoE_1","","ECF RNA polymerase sigma-E factor","2","2","1","516","87","","","","578","578","578","GCF_000154045.1_ASM15404v1_03993","GCF_000182385.1_ASM18238v1_02012"
"gtaB_1","","UTP--glucose-1-phosphate uridylyltransferase","2","2","1","515","16","","","","872","872","872","GCF_000154045.1_ASM15404v1_00459","GCF_000182385.1_ASM18238v1_01556"
"rlmG","","Ribosomal RNA large subunit methyltransferase G","2","2","1","522","361","","","","1157","1157","1157","GCF_000154045.1_ASM15404v1_04212","GCF_000182385.1_ASM18238v1_04183"
"group_28","","hypothetical protein","2","2","1","524","434","","","","1124","1202","1163","GCF_000154045.1_ASM15404v1_01144","GCF_000182385.1_ASM18238v1_01009"
"sapF","","Putrescine export system ATP-binding protein SapF","2","2","1","519","86","","","","782","782","782","GCF_000154045.1_ASM15404v1_02012","GCF_000182385.1_ASM18238v1_04029"
"group_2801","","hypothetical protein","2","2","1","524","1109","","","","185","185","185","GCF_000154045.1_ASM15404v1_01567","GCF_000182385.1_ASM18238v1_00346"
"hlyU","","Transcriptional activator HlyU","2","2","1","518","195","","","","296","296","296","GCF_000154045.1_ASM15404v1_02530","GCF_000182385.1_ASM18238v1_04630"
"group_2803","","hypothetical protein","2","2","1","519","287","","","","722","722","722","GCF_000154045.1_ASM15404v1_03073","GCF_000182385.1_ASM18238v1_03943"
"pscF","","Type III export protein PscF","2","2","1","520","143","","","","248","248","248","GCF_000154045.1_ASM15404v1_01022","GCF_000182385.1_ASM18238v1_01175"
"group_2805","rcsC_8","Sensor histidine kinase RcsC","2","2","1","524","247","","","","3335","3335","3335","GCF_000154045.1_ASM15404v1_02452","GCF_000182385.1_ASM18238v1_01891"
"rpsR","","30S ribosomal protein S18","2","2","1","517","24","","","","227","227","227","GCF_000154045.1_ASM15404v1_00343","GCF_000182385.1_ASM18238v1_01506"
"group_2809","","hypothetical protein","2","2","1","524","852","","","","671","671","671","GCF_000154045.1_ASM15404v1_01309","GCF_000182385.1_ASM18238v1_00607"
"ylxH","","Flagellum site-determining protein YlxH","2","2","1","522","482","","","","887","887","887","GCF_000154045.1_ASM15404v1_03834","GCF_000182385.1_ASM18238v1_02070"
"group_2811","","hypothetical protein","2","2","1","519","199","","","","1271","1271","1271","GCF_000154045.1_ASM15404v1_04356","GCF_000182385.1_ASM18238v1_03852"
"group_2812","","hypothetical protein","2","2","1","519","237","","","","692","692","692","GCF_000154045.1_ASM15404v1_04018","GCF_000182385.1_ASM18238v1_03892"
"group_2813","","hypothetical protein","2","2","1","502","6","","","","266","266","266","GCF_000154045.1_ASM15404v1_04780","GCF_000182385.1_ASM18238v1_01814"
"msrB","","Peptide methionine sulfoxide reductase MsrB","2","2","1","522","558","","","","410","410","410","GCF_000154045.1_ASM15404v1_02280","GCF_000182385.1_ASM18238v1_02144"
"group_2815","","hypothetical protein","2","2","1","524","211","","","","2039","2039","2039","GCF_000154045.1_ASM15404v1_04408","GCF_000182385.1_ASM18238v1_01926"
"priC","","Primosomal replication protein N''","2","2","1","519","215","","","","545","545","545","GCF_000154045.1_ASM15404v1_04340","GCF_000182385.1_ASM18238v1_03869"
"purE_2","","N5-carboxyaminoimidazole ribonucleotide mutase","2","2","1","522","6","","","","485","485","485","GCF_000154045.1_ASM15404v1_02412","GCF_000182385.1_ASM18238v1_04441"
"cra","","Catabolite repressor/activator","2","2","1","523","442","","","","980","980","980","GCF_000154045.1_ASM15404v1_05092","GCF_000182385.1_ASM18238v1_03585"
"gppA","","Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase","2","2","1","522","79","","","","1493","1493","1493","GCF_000154045.1_ASM15404v1_03503","GCF_000182385.1_ASM18238v1_03776"
"ubiI","","2-octaprenylphenol hydroxylase","2","2","1","516","86","","","","812","1208","1010","GCF_000154045.1_ASM15404v1_03994","GCF_000182385.1_ASM18238v1_02006"
"cutC","","Copper homeostasis protein CutC","2","2","1","518","247","","","","743","743","743","GCF_000154045.1_ASM15404v1_02881","GCF_000182385.1_ASM18238v1_04684"
"group_2821","","hypothetical protein","2","2","1","524","331","","","","149","149","149","GCF_000154045.1_ASM15404v1_01245","GCF_000182385.1_ASM18238v1_01114"
"hslR","","Heat shock protein 15","2","2","1","521","357","","","","386","386","386","GCF_000154045.1_ASM15404v1_00646","GCF_000182385.1_ASM18238v1_02960"
"group_2823","","hypothetical protein","2","2","1","520","112","","","","413","413","413","GCF_000154045.1_ASM15404v1_01053","GCF_000182385.1_ASM18238v1_04420"
"group_2824","","hypothetical protein","2","2","1","522","320","","","","551","551","551","GCF_000154045.1_ASM15404v1_04248","GCF_000182385.1_ASM18238v1_04146"
